sample	consortium	bam	gene	coordinates	data_type	flanks
HG00513	HGSVC	/rsstu/users/x/xpeng5/FcyRGenetics/data/pb-reads/3-bam/HG00513.hifi.chm13.bam	FCGR2_3	chr1:160765704-161024509	PB	all
HG00513	LRS	/rsstu/users/x/xpeng5/FcyRGenetics/data/ont-reads/0-hg38/HG00513.ont.hg38.bam	FCGR2_3	chr1:161505457-161678654	ONT	50,100,400
HG00097	LRS	/rsstu/users/x/xpeng5/FcyRGenetics/data/ont-reads/0-hg38/HG00097.ont.hg38.bam	FCGR2_3	chr1:161505457-161678654	ONT	100,400,1000
HG00097	HPRC	/rsstu/users/x/xpeng5/FcyRGenetics/data/pb-reads/3-bam/HG00097.hifi.chm13.bam	FCGR2_3	chr1:160765704-161024509	PB	200,400,500
